"","EXPID","REFID","RYEAR","RTYPE","RJRNL","RAUTHOR","RTITLE","RPUBLISHER","RPUBDATE","RLANGUAGE","RCITATION","RYAK94","RNOTES"
"159","DORJ85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:237 (1986)",NA,NA
"160","LANG85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:237 (1986)",NA,NA
"161","LSIS85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:237 (1986)",NA,NA
"162","GAN185301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:238 (1986)",NA,NA
"163","GAN485301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:238 (1986)",NA,NA
"164","MANA85101","01","1985",2,"AAJ","Studer, Wilfried",NA,NA,"1986",NA,"60:238-239 (1986)",NA,NA
"165","MANA85303","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:239-240 (1986)",NA,NA
"166","MANA85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:239-240 (1986)",NA,NA
"167","MANA85302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:239-240 (1986)",NA,NA
"168","MANA85401","01","1985",2,"AAJ","Yamada, Norboru",NA,NA,"1986",NA,"60:240 (1986)",NA,NA
"169","HIME85101","01","1985",2,"AAJ","Orban, Pal Geza",NA,NA,"1986",NA,"60:240 (1986)",NA,NA
"170","HIME85301","01","1985",2,"AAJ","Takeda, Nobuyuki",NA,NA,"1986",NA,"60:241 (1986)",NA,NA
"171","HIMN85302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:241 (1986)",NA,NA
"172","HIMN85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:241 (1986)",NA,NA
"173","HIMW85301","01","1985",2,"AAJ","Palmer, Ronald G.",NA,NA,"1986",NA,"60:242 (1986)",NA,NA
"174","KGUR85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:242 (1986)",NA,NA
"175","ANN184401","02","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:242 (1986)",NA,NA
"176","ANN185101","01","1985",2,"AAJ",NA,NA,NA,"1986",NA,"60:242 (1986)",NA,NA
"177","DHA185102","01","1985",2,"AAJ",NA,NA,NA,"1986",NA,"60:242 (1986)",NA,NA
"178","ANN185301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:243 (1986)",NA,NA
"179","ANN185302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:243 (1986)",NA,NA
"180","ANN185401","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1987",NA,"61:249 (1987)",NA,NA
"181","ANN285301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:243 (1986)",NA,NA
"182","ANN385101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:244 (1986)",NA,NA
"183","ANN485301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:244 (1986)",NA,NA
"184","GANG84401","02","1984",2,"AAJ",NA,NA,NA,"1986",NA,"60:244 (1986)",NA,NA
"185","GANG85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:244 (1986)",NA,NA
"186","GANG85302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:244 (1986)",NA,NA
"187","ANNS84401","02","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:245 (1986)",NA,NA
"188","ANNS85101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:245 (1986)",NA,NA
"189","ANNS85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:245 (1986)",NA,NA
"190","ANNS85302","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:245 (1986)",NA,NA
"191","NILN85101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:246 (1986)",NA,NA
"192","NILN85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:246 (1986)",NA,NA
"193","NILS85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:246 (1986)",NA,NA
"194","TILI85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:246 (1986)",NA,NA
"195","DHA185101","01","1985",2,"AAJ","Harwood, Robert",NA,NA,"1986",NA,"60:247 (1986)",NA,NA
"196","DHA185401","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:247 (1986)",NA,NA
"197","DHA185302","01","1985",2,"AAJ","Guha, Kamal K.",NA,NA,"1986",NA,"60:247 (1986)",NA,NA
"198","DHA185301","01","1985",2,"AAJ","Novak, Jiri",NA,NA,"1986",NA,"60:247-249 (1986)",NA,"22"
"199","DHA185303","01","1985",2,"AAJ","Belak, Stane",NA,NA,"1986",NA,"60:249-250 (1986)",NA,NA
"200","DHA285301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:250 (1986)",NA,NA
